"SYMBOL","GENE_NAME","MODULE","PROBEID","ENTREZ"
"FNDC3B","fibronectin type III domain containing 3B","","ILMN_3253456","64778"
"FTSJD2","cap methyltransferase 1","","ILMN_3246953","23070"
"GADD45B","growth arrest and DNA-damage-inducible, beta","M5.12","ILMN_1718977","4616"
"GALM","galactose mutarotase (aldose 1-epimerase)","M3.4","ILMN_1671482","130589"
"GAS6","growth arrest-specific 6","M7.32","ILMN_1779558","2621"
"GBP1","guanylate binding protein 1, interferon-inducible","M3.4","ILMN_1701114","2633"
"GBP1","guanylate binding protein 1, interferon-inducible","","ILMN_2148785","2633"
"GNG5","guanine nucleotide binding protein (G protein), gamma 5","M4.6","ILMN_1701854","2787"
"GRIPAP1","GRIP1 associated protein 1","M7.9","ILMN_1761176","56850"
"H2AFJ","H2A histone family, member J","M7.16","ILMN_1708728","55766"
"HCP5","HLA complex P5 (non-protein coding)","M7.21","ILMN_1803945","10866"
"HERC5","HECT and RLD domain containing E3 ubiquitin protein ligase 5","M1.2","ILMN_1729749","51191"
"HERC6","HECT and RLD domain containing E3 ubiquitin protein ligase family member 6","M3.4","ILMN_1654639","55008"
"HESX1","HESX homeobox 1","M9.36","ILMN_1742929","8820"
"HIST1H2AM","histone cluster 1, H2am","M9.41","ILMN_1756022","8336"
"HIST1H2BD","histone cluster 1, H2bd","M7.16","ILMN_1651496","3017"
"HIST1H2BD","histone cluster 1, H2bd","M7.16","ILMN_1758623","3017"
"HIST1H3D","histone cluster 1, H3d","M7.16","ILMN_1721127","8351"
"HIST1H3E","histone cluster 1, H3e","","ILMN_3235949","8353"
"HIST1H4E","histone cluster 1, H4e","M7.16","ILMN_1681542","8367"
"HIST1H4H","histone cluster 1, H4h","M7.16","ILMN_1751120","8365"
"HIST2H2AA3","","M7.16","ILMN_1659047",""
"HIST2H2AA3","","","ILMN_2144426",""
"HIST2H2AA4","","","ILMN_3242900",""
"HIST2H2AC","histone cluster 2, H2ac","M7.16","ILMN_1768973","8338"
"HIST2H2BE","histone cluster 2, H2be","M7.16","ILMN_1732071","8349"
"HIST2H4A","","M4.9","ILMN_2115340",""
"HIST2H4B","","","ILMN_3238233",""
"HSH2D","hematopoietic SH2 domain containing","M5.12","ILMN_1788017","84941"
"HSPA1B","heat shock 70kDa protein 1B","M7.16","ILMN_1660436","3304"
"HYOU1","hypoxia up-regulated 1","M7.7","ILMN_1673649","10525"
"ICA1","islet cell autoantigen 1, 69kDa","M8.45","ILMN_1814787","3382"
"ICA1","islet cell autoantigen 1, 69kDa","","ILMN_2365569","3382"
"IFI16","interferon, gamma-inducible protein 16","M5.12","ILMN_1710937","3428"
"IFI27","interferon, alpha-inducible protein 27","","ILMN_2058782","3429"
"IFI27L1","interferon, alpha-inducible protein 27-like 1","","ILMN_3272500","122509"
"IFI35","interferon-induced protein 35","M3.4","ILMN_1745374","3430"
"IFI44","interferon-induced protein 44","M1.2","ILMN_1760062","10561"
"IFI44L","interferon-induced protein 44-like","M1.2","ILMN_1723912","10964"
"IFI6","interferon, alpha-inducible protein 6","","ILMN_2347798","2537"
"IFIH1","interferon induced with helicase C domain 1","M3.4","ILMN_1781373","64135"
"IFIT1","","M1.2","ILMN_1699331",""
"IFIT1","interferon-induced protein with tetratricopeptide repeats 1","M1.2","ILMN_1707695","3434"
"IFIT2","interferon-induced protein with tetratricopeptide repeats 2","M3.4","ILMN_1739428","3433"
"IFIT3","interferon-induced protein with tetratricopeptide repeats 3","M1.2","ILMN_1664543","3437"
"IFIT3","interferon-induced protein with tetratricopeptide repeats 3","M1.2","ILMN_1701789","3437"
"IFIT3","interferon-induced protein with tetratricopeptide repeats 3","M1.2","ILMN_2239754","3437"
"IFIT5","interferon-induced protein with tetratricopeptide repeats 5","M3.4","ILMN_1696654","24138"
"IFITM1","interferon induced transmembrane protein 1","M3.4","ILMN_1801246","8519"
"IFITM3","interferon induced transmembrane protein 3","M1.2","ILMN_1805750","10410"
"IGLL1","immunoglobulin lambda-like polypeptide 1","","ILMN_2393765","3543"
"IGLL3","immunoglobulin lambda-like polypeptide 3, pseudogene","","ILMN_2083066","91353"
"IL1RN","interleukin 1 receptor antagonist","M3.2","ILMN_1774874","3557"
"IRF7","interferon regulatory factor 7","M3.4","ILMN_1798181","3665"
"IRF7","interferon regulatory factor 7","","ILMN_2349061","3665"
"IRF9","interferon regulatory factor 9","M5.12","ILMN_1745471","10379"
"ISG15","ISG15 ubiquitin-like modifier","M1.2","ILMN_2054019","9636"
"ISG20","interferon stimulated exonuclease gene 20kDa","M5.12","ILMN_1659913","3669"
"JUP","junction plakoglobin","M9.30","ILMN_1733811","3728"
"KIAA0040","KIAA0040","M5.1","ILMN_1797191","9674"
"KIAA0101","KIAA0101","M3.3","ILMN_2285996","9768"
"KIAA0125","KIAA0125","M4.10","ILMN_1707491","9834"
"KIAA1618","ring finger protein 213","M5.12","ILMN_1674891","57674"
"KIAA1618","ring finger protein 213","","ILMN_2289093","57674"
"LAMP3","lysosomal-associated membrane protein 3","M1.2","ILMN_2170813","27074"
"LAMP3","lysosomal-associated membrane protein 3","","ILMN_2170814","27074"
"LAP3","leucine aminopeptidase 3","M3.4","ILMN_1683792","51056"
"LBA1","tetratricopeptide repeat and ankyrin repeat containing 1","M5.12","ILMN_1750321","9881"
"LGALS3BP","lectin, galactoside-binding, soluble, 3 binding protein","M3.4","ILMN_1659688","3959"
"LGALS9","lectin, galactoside-binding, soluble, 9","M5.12","ILMN_1715760","3965"
"LGMN","legumain","M7.24","ILMN_1698019","5641"
"LMTK2","lemur tyrosine kinase 2","M7.10","ILMN_1724315","22853"
"LOC100128274","zinc finger protein 655 pseudogene","","ILMN_3253787","100131257"
"LOC100131845","","","ILMN_3247797",""
"LOC100134331","","","ILMN_3243573",""
"LOC255620","unc-93 homolog B1 (C. elegans)","M9.3","ILMN_1807114","81622"
"LOC285296","unc-93 homolog B1 (C. elegans)","","ILMN_3236463","81622"
"LOC389386","leucine aminopeptidase 3","","ILMN_3295494","51056"
"LOC389827","transmembrane protein 8C","","ILMN_1661514","389827"
"LOC400759","guanylate binding protein 1, interferon-inducible","M3.4","ILMN_1782487","2633"
"LOC401845","","M4.11","ILMN_1653579",""
"LOC441019","metallothionein 2A","M7.33","ILMN_1761281","4502"
"LOC642113","","M4.11","ILMN_1652199",""
"LOC642131","","","ILMN_3212395",""
"LOC642956","fatty acid binding protein 5 (psoriasis-associated)","","ILMN_3210741","2171"
"LOC643384","unc-93 homolog B1 (C. elegans)","","ILMN_3219806","81622"
"LOC643384","","","ILMN_3281294",""
"LOC647450","","M4.11","ILMN_1699214",""
"LOC647460","immunoglobulin kappa variable 1/ORY-1 (pseudogene)","M4.11","ILMN_1729198","439957"
"LOC647506","immunoglobulin kappa variable 1/ORY-1 (pseudogene)","","ILMN_3240375","439957"
"LOC649210","","M4.11","ILMN_1678859",""
"LOC649923","","M4.11","ILMN_1804601",""
"LOC651751","","M4.11","ILMN_1674228",""
"LOC651816","ubiquitin-conjugating enzyme E2S","M7.7","ILMN_1729115","27338"
"LOC652102","","M4.11","ILMN_1743797",""
"LOC652126","","","ILMN_1776014",""
"LOC652493","","M4.11","ILMN_1739508",""
"LOC652694","","M4.11","ILMN_1680274",""
"LOC652775","","M4.11","ILMN_1695891",""
"LOC728216","ubiquitin specific peptidase 18","M9.35","ILMN_1740200","11274"
"LOC729196","unc-93 homolog B1 (C. elegans)","M8.88","ILMN_1652164","81622"
"LOC731049","ubiquitin-conjugating enzyme E2S","M7.7","ILMN_1808591","27338"
"LOC731528","","","ILMN_3245569",""
"LXN","latexin","M8.44","ILMN_1723962","56925"
"LY6E","lymphocyte antigen 6 complex, locus E","M1.2","ILMN_1695404","4061"
"LYRM1","LYR motif containing 1","M4.6","ILMN_1749244","57149"
"MCM6","minichromosome maintenance complex component 6","M7.7","ILMN_1798654","4175"
"MGC29506","marginal zone B and B1 cell-specific protein","","ILMN_2193233","51237"
"MGC4677","","M7.2","ILMN_1726153",""
"MICB","MHC class I polypeptide-related sequence B","M7.21","ILMN_1708006","4277"
"MOSPD2","motile sperm domain containing 2","M4.13","ILMN_1766094","158747"
"MOV10","Mov10, Moloney leukemia virus 10, homolog (mouse)","M3.4","ILMN_1725700","4343"
"MT1A","metallothionein 1A","M3.4","ILMN_1691156","4489"
"MT1E","metallothionein 1E","","ILMN_2173611","4493"
"MT1G","metallothionein 1G","M9.35","ILMN_1715401","4495"
"MT2A","metallothionein 2A","M3.4","ILMN_1686664","4502"
"MTE","metallothionein 1I, pseudogene","","ILMN_2136089","644314"
"MTF1","metal-regulatory transcription factor 1","M8.48","ILMN_1763828","4520"
"MX1","myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)","M1.2","ILMN_1662358","4599"
"MX2","myxovirus (influenza virus) resistance 2 (mouse)","M7.2","ILMN_2231928","4600"
"NBN","nibrin","M5.12","ILMN_1734833","4683"
"NCAPG","non-SMC condensin I complex, subunit G","M3.3","ILMN_1751444","64151"
"NCOA7","nuclear receptor coactivator 7","M5.12","ILMN_1687768","135112"
"NDC80","NDC80 kinetochore complex component","M6.16","ILMN_1664511","10403"
"NEXN","nexilin (F actin binding protein)","M8.18","ILMN_1783276","91624"
"NT5C3","5-nucleotidase, cytosolic IIIA","M5.12","ILMN_1769734","51251"
"NT5C3","5-nucleotidase, cytosolic IIIA","","ILMN_2352121","51251"
"NUB1","negative regulator of ubiquitin-like proteins 1","M5.12","ILMN_1665291","51667"
"NUSAP1","nucleolar and spindle associated protein 1","M3.3","ILMN_1726720","51203"
"OAS1","2-5-oligoadenylate synthetase 1, 40/46kDa","M1.2","ILMN_1675640","4938"
"OAS1","2-5-oligoadenylate synthetase 1, 40/46kDa","","ILMN_2410826","4938"
"OAS2","2-5-oligoadenylate synthetase 2, 69/71kDa","M1.2","ILMN_1674063","4939"
"OAS2","2-5-oligoadenylate synthetase 2, 69/71kDa","M1.2","ILMN_1736729","4939"
"OAS3","2-5-oligoadenylate synthetase 3, 100kDa","M1.2","ILMN_1745397","4940"
"OASL","2-5-oligoadenylate synthetase-like","M1.2","ILMN_1674811","8638"
"OASL","2-5-oligoadenylate synthetase-like","M1.2","ILMN_1681721","8638"
"OGFR","opioid growth factor receptor","M7.34","ILMN_1728224","11054"
"OTOF","otoferlin","M1.2","ILMN_1663347","9381"
"OTOF","otoferlin","","ILMN_2340886","9381"
"PACAP","","M7.32","ILMN_1662878",""
"PARP10","poly (ADP-ribose) polymerase family, member 10","M3.4","ILMN_1710844","84875"
"PARP10","poly (ADP-ribose) polymerase family, member 10","M3.4","ILMN_1721411","84875"
"PARP10","poly (ADP-ribose) polymerase family, member 10","M5.12","ILMN_2262044","84875"
"PARP12","poly (ADP-ribose) polymerase family, member 12","M3.4","ILMN_1718558","64761"
"PARP14","poly (ADP-ribose) polymerase family, member 14","M3.4","ILMN_1691731","54625"
"PARP9","poly (ADP-ribose) polymerase family, member 9","M3.4","ILMN_1731224","83666"
"PATL1","protein associated with topoisomerase II homolog 1 (yeast)","M7.9","ILMN_1680782","219988"
"PCGF5","polycomb group ring finger 5","M9.4","ILMN_1788059","84333"
"PDIA5","protein disulfide isomerase family A, member 5","M7.11","ILMN_1695763","10954"
"PFTK1","cyclin-dependent kinase 14","M4.6","ILMN_2171295","5218"
"PHACTR1","phosphatase and actin regulator 1","M9.13","ILMN_1736982","221692"
"PHACTR2","phosphatase and actin regulator 2","M7.9","ILMN_1790533","9749"
"PHF11","PHD finger protein 11","M5.12","ILMN_1776723","51131"
"PHF11","PHD finger protein 11","","ILMN_2390162","51131"
"PI4K2B","phosphatidylinositol 4-kinase type 2 beta","M9.6","ILMN_1815134","55300"
"PIM2","pim-2 oncogene","M8.69","ILMN_1748283","11040"
"PKN1","protein kinase N1","","ILMN_2367710","5585"
"PLAC8","placenta-specific 8","M5.13","ILMN_1653026","51316"
"PLSCR1","phospholipid scramblase 1","M3.4","ILMN_1745242","5359"
"PML","","M3.4","ILMN_1728019",""
"PNPT1","polyribonucleotide nucleotidyltransferase 1","M9.27","ILMN_1810608","87178"
"POU2AF1","POU class 2 associating factor 1","M7.32","ILMN_1811049","5450"
"POU2F1","POU class 2 homeobox 1","M8.43","ILMN_1794333","5451"
"PRIC285","helicase with zinc finger 2, transcriptional coactivator","M3.4","ILMN_1787509","85441"
"PRKD2","protein kinase D2","","ILMN_2331525","25865"
"PTPN20","","","ILMN_1680945",""
"PTTG1","pituitary tumor-transforming 1","M3.3","ILMN_1753196","9232"
"PTTG1","pituitary tumor-transforming 1","","ILMN_2042771","9232"
"PTTG3P","pituitary tumor-transforming 3, pseudogene","","ILMN_2049021","26255"
"RAB5C","RAB5C, member RAS oncogene family","M7.1","ILMN_1769665","5878"
"RAB8A","RAB8A, member RAS oncogene family","M9.18","ILMN_1760858","4218"
"RAD51AP1","RAD51 associated protein 1","M6.16","ILMN_1670353","10635"
"RASGRP3","RAS guanyl releasing protein 3 (calcium and DAG-regulated)","M8.76","ILMN_1727045","25780"
"RBCK1","RanBP-type and C3HC4-type zinc finger containing 1","M5.12","ILMN_1751330","10616"
"RBCK1","RanBP-type and C3HC4-type zinc finger containing 1","","ILMN_2406313","10616"
"REC8","REC8 meiotic recombination protein","M5.12","ILMN_1751886","9985"
"REC8","REC8 meiotic recombination protein","","ILMN_2317751","9985"
"RGL1","ral guanine nucleotide dissociation stimulator-like 1","M9.34","ILMN_1654398","23179"
"RNASE2","ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)","","ILMN_1730628","6036"
"RNF19B","ring finger protein 19B","M7.15","ILMN_1682081","127544"
"RNF31","ring finger protein 31","M8.4","ILMN_1758831","55072"
"RRBP1","ribosome binding protein 1","","ILMN_2360784","6238"
"RSAD2","radical S-adenosyl methionine domain containing 2","M1.2","ILMN_1657871","91543"
"RSF1","remodeling and spacing factor 1","M7.19","ILMN_1668834","51773"
"RTP4","receptor (chemosensory) transporter protein 4","M1.2","ILMN_2173975","64108"
"SAMD9","sterile alpha motif domain containing 9","M5.12","ILMN_1814305","54809"
"SAMD9L","sterile alpha motif domain containing 9-like","M3.4","ILMN_1799467","219285"
"SAT1","spermidine/spermine N1-acetyltransferase 1","M4.6","ILMN_1753342","6303"
"SCO2","SCO2 cytochrome c oxidase assembly protein","M3.4","ILMN_1701621","9997"
"SDC1","syndecan 1","M6.1","ILMN_1815308","6382"
"SERPING1","serpin peptidase inhibitor, clade G (C1 inhibitor), member 1","M1.2","ILMN_1670305","710"
"SHISA5","shisa family member 5","M7.1","ILMN_2139100","51246"
"SIGLEC1","sialic acid binding Ig-like lectin 1, sialoadhesin","","ILMN_1725320","6614"
"SLC35A5","solute carrier family 35, member A5","M8.2","ILMN_1709817","55032"
"SLC44A1","solute carrier family 44 (choline transporter), member 1","M8.19","ILMN_1700695","23446"
"SLC9A8","solute carrier family 9, subfamily A (NHE8, cation proton antiporter 8), member 8","M7.1","ILMN_1690625","23315"
"SMCHD1","structural maintenance of chromosomes flexible hinge domain containing 1","M8.60","ILMN_1808148","23347"
"SOCS1","suppressor of cytokine signaling 1","M3.4","ILMN_1774733","8651"
"SP100","SP100 nuclear antigen","M5.12","ILMN_1690920","6672"
"SP110","SP110 nuclear body protein","M5.12","ILMN_1731418","3431"
"SP110","SP110 nuclear body protein","M8.107","ILMN_1813455","3431"
"SP110","SP110 nuclear body protein","","ILMN_2415144","3431"
"SP140","SP140 nuclear body protein","M5.12","ILMN_1703263","11262"
"SP140","SP140 nuclear body protein","M5.12","ILMN_1778599","11262"
"SP140","SP140 nuclear body protein","","ILMN_2246882","11262"
"SPATS2L","spermatogenesis associated, serine-rich 2-like","M1.2","ILMN_1683678","26010"
"SPCS3","signal peptidase complex subunit 3 homolog (S. cerevisiae)","","ILMN_3307700","60559"
"SPTLC2","serine palmitoyltransferase, long chain base subunit 2","M7.10","ILMN_1704290","9517"
"SQRDL","sulfide quinone reductase-like (yeast)","M4.6","ILMN_1667199","58472"
"SRBD1","S1 RNA binding domain 1","M5.12","ILMN_1798827","55133"
"STAP1","signal transducing adaptor family member 1","","ILMN_3247998","26228"
"STAT1","signal transducer and activator of transcription 1, 91kDa","M3.4","ILMN_1690105","6772"
"STAT1","signal transducer and activator of transcription 1, 91kDa","M3.4","ILMN_1691364","6772"
"STAT1","signal transducer and activator of transcription 1, 91kDa","M3.4","ILMN_1777325","6772"
"STAT2","signal transducer and activator of transcription 2, 113kDa","M3.4","ILMN_1690921","6773"
"TAP1","transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)","M5.12","ILMN_1751079","6890"
"TAP2","transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)","M7.16","ILMN_1759250","6891"
"TAP2","transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)","M5.12","ILMN_1777565","6891"
"TBPL1","TBP-like 1","M7.34","ILMN_1708147","9519"
"TCF4","transcription factor 4","M8.36","ILMN_1814194","6925"
"TDRD7","tudor domain containing 7","M5.12","ILMN_1705241","23424"
"TIMM10","translocase of inner mitochondrial membrane 10 homolog (yeast)","M3.4","ILMN_1765332","26519"
"TK1","thymidine kinase 1, soluble","M3.3","ILMN_1806037","7083"
"TLE4","transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)","","ILMN_2103761","7091"
"TM4SF1","transmembrane 4 L six family member 1","M8.95","ILMN_1770338","4071"
"TMEM123","transmembrane protein 123","M8.68","ILMN_1724139","114908"
"TMEM140","transmembrane protein 140","M5.12","ILMN_1736863","55281"
"TMEM60","transmembrane protein 60","M7.9","ILMN_1752213","85025"
"TMEM62","transmembrane protein 62","M4.16","ILMN_1745807","80021"
"TNFAIP3","tumor necrosis factor, alpha-induced protein 3","M8.67","ILMN_1702691","7128"
"TNFAIP6","tumor necrosis factor, alpha-induced protein 6","M3.4","ILMN_1785732","7130"
"TNFRSF13B","tumor necrosis factor receptor superfamily, member 13B","M7.32","ILMN_1759075","23495"
"TNFRSF17","tumor necrosis factor receptor superfamily, member 17","M4.11","ILMN_1768016","608"
"TNFSF10","tumor necrosis factor (ligand) superfamily, member 10","M3.4","ILMN_1801307","8743"
"TNFSF13B","tumor necrosis factor (ligand) superfamily, member 13b","M5.1","ILMN_1758418","10673"
"TOP2A","topoisomerase (DNA) II alpha 170kDa","M3.3","ILMN_1686097","7153"
"TOR1B","torsin family 1, member B (torsin B)","M8.59","ILMN_1724333","27348"
"TPX2","TPX2, microtubule-associated","M3.3","ILMN_1796949","22974"
"TRAFD1","TRAF-type zinc finger domain containing 1","M5.12","ILMN_1758250","10906"
"TRIB1","tribbles pseudokinase 1","M3.2","ILMN_1803811","10221"
"TRIM21","tripartite motif containing 21","M5.12","ILMN_1678054","6737"
"TRIM22","tripartite motif containing 22","M3.4","ILMN_1779252","10346"
"TRIM25","tripartite motif containing 25","M5.12","ILMN_1813625","7706"
"TRIM26","tripartite motif containing 26","M4.16","ILMN_1738704","7726"
"TRIM38","tripartite motif containing 38","M5.12","ILMN_1697971","10475"
"TRIM5","tripartite motif containing 5","M5.12","ILMN_1704972","85363"
"TRIM78P","tripartite motif containing 5","M3.4","ILMN_1797359","85363"
"TROAP","trophinin associated protein","M6.16","ILMN_1700337","10024"
"TUFT1","tuftelin 1","M7.2","ILMN_1781374","7286"
"TXNDC5","thioredoxin domain containing 5 (endoplasmic reticulum)","M4.11","ILMN_1769082","81567"
"TXNDC5","","M4.11","ILMN_1788108",""
"TXNDC5","","","ILMN_2403965",""
"TXNL4B","thioredoxin-like 4B","M7.34","ILMN_1748488","54957"
"TYMP","thymidine phosphorylase","","ILMN_3223126","1890"
"TYMS","thymidylate synthetase","M3.3","ILMN_1806040","7298"
"UBE1","ubiquitin-like modifier activating enzyme 1","M7.1","ILMN_1683609","7317"
"UBE2C","ubiquitin-conjugating enzyme E2C","M3.3","ILMN_1714730","11065"
"UBE2C","ubiquitin-conjugating enzyme E2C","","ILMN_2301083","11065"
"UBE2J1","ubiquitin-conjugating enzyme E2, J1","M5.1","ILMN_1713759","51465"
